entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,entry_profile,entry_choppy_regime,symbol
121,178,57,84.08,256.42,peak_protect_dist,2020-10-26,0.43661971830985924,0.13840830449826985,17.800546448087502,1.457171076971117,1.0,1.0,0.07032403866764189,0.8666666666666667,4,2020-07-31,ASM,0.34,weak,False,False,True,1.05,-11.35,-5.46,balanced,False,ASM
192,224,32,74.41,,end,2020-12-31,0.8536585365853657,0.02177858439201454,9.286898839137628,0.8790212731278687,1.0,0.0,-0.0463752029223498,0.1,2,2020-11-13,ASM,0.5,strong,False,False,False,6.99,-1.08,5.27,balanced,False,ASM
89,114,25,-0.68,169.01,signal,2020-06-30,0.7647058823529409,0.02714932126696835,11.445783132530138,0.945142945568494,0.0,2.0,-0.009786769136423495,0.35,3,2020-05-18,ASP,0.375,moderate,False,False,False,3.51,-2.21,3.39,balanced,False,ASP
146,163,17,11.82,317.05,peak_protect_dist,2020-09-08,0.7192982456140363,0.037825059101654665,15.374999999999964,0.8552311767758145,2.0,3.0,-0.03889120424690279,0.43333333333333335,4,2020-08-13,ASP,0.25,weak,False,False,False,1.93,-3.64,2.06,balanced,False,ASP
168,201,33,-2.02,101.11,signal,2020-11-02,0.8941176470588237,0.01814516129032255,-13.019943019943014,0.7334492541411183,2.0,2.0,-0.022617649131895817,0.48333333333333334,1,2020-09-15,ASP,0.5,strong,False,False,False,4.86,0.0,4.08,balanced,False,ASP
208,223,15,8.29,,end,2020-12-31,0.8392857142857146,0.017341040462427716,-9.523809523809497,1.6086131761086901,3.0,1.0,0.03649898637307922,0.5666666666666667,1,2020-12-09,ASP,0.4,moderate,False,False,False,7.45,0.0,4.46,balanced,False,ASP
15,24,9,-8.34,97.77,signal,2020-02-12,0.3338192419825075,0.06187381532629309,0.14419616004664704,0.8987540824966735,1.0,2.0,0.0012055526853231397,0.06666666666666667,4,2020-01-30,AST,0.5,moderate,False,False,False,-0.7,-5.61,-1.32,balanced,False,AST
60,83,23,20.21,301.68,peak_protect_dist,2020-05-08,0.13407821229050285,0.445751633986928,16.661279896574015,1.16711395299993,0.0,2.0,0.07671445799654464,0.7166666666666667,5,2020-04-03,AST,0.26775,weak,False,False,True,1.76,-27.49,-8.29,balanced,False,AST
88,109,21,-5.19,175.44,signal,2020-06-15,0.5487500000000001,0.07617640852500526,-6.283312833128321,1.5110819071168886,2.0,2.0,0.017622678089740614,0.016666666666666666,4,2020-05-15,AST,0.375,moderate,False,False,False,3.07,-4.44,1.09,balanced,False,AST
146,157,11,1.12,154.97,signal,2020-08-20,0.4534632034632039,0.12606090863704436,13.601683797120529,1.1048876044630487,1.0,2.0,0.05938208606595527,1.0,5,2020-08-05,AST,0.4,weak,False,False,True,5.95,-10.66,-4.68,balanced,False,AST
171,187,16,2.87,48.77,signal,2020-10-02,0.8214285714285717,0.020487138629638028,9.25065052773148,1.5377106402279697,2.0,2.0,-0.047644815124780734,0.4,4,2020-09-10,AST,0.7124999999999999,strong,False,False,False,0.41,-0.81,4.06,balanced,False,AST
