symbol,window,entry_idx,exit_idx,entry_price,exit_price,hold_days,buy_prob,trade_return_pct,max_dd_pct,max_profit_pct,gave_back_pct,entry_wave_pos,actual_target,after_exit_5d_pct,is_win
ABS,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],923,933,3.73,3.86,10,0.632,3.49,0.0,4.29,0.8,0.24,0,2.33,True
ABS,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],934,944,3.86,4.29,10,0.659,11.14,-0.78,11.14,0.0,0.9,1,9.56,True
ABS,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],945,955,4.59,4.9,10,0.656,6.75,-0.87,10.46,3.7,1.0,1,0.82,True
ABW,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],146,156,9.7,9.9,10,0.608,2.06,-2.06,6.19,4.12,0.25,0,4.04,True
ABW,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],189,199,9.8,9.5,10,0.609,-3.06,-4.08,0.0,3.06,0.08,0,1.05,False
ABW,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],200,210,9.6,8.7,10,0.631,-9.38,-11.46,1.04,10.42,0.4,0,0.0,False
ABW,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],212,222,9.0,9.1,10,0.612,1.11,-3.33,2.22,1.11,0.38,0,-2.2,True
ABW,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],223,233,9.0,8.8,10,0.637,-2.22,-3.33,0.0,2.22,0.42,0,-1.14,False
ABW,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],234,244,8.8,8.8,10,0.641,0.0,-2.27,1.14,1.14,0.2,0,0.0,False
ABW,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],245,255,8.9,8.9,10,0.637,0.0,-1.12,1.12,1.12,0.75,0,-3.37,False
ABW,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],256,266,8.8,8.8,10,0.656,0.0,-2.27,0.0,0.0,0.33,0,-1.14,False
ABW,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],267,277,8.7,8.7,10,0.638,0.0,0.0,1.15,1.15,0.25,0,-6.9,False
ABW,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],278,288,8.5,8.1,10,0.64,-4.71,-5.88,0.0,4.71,0.0,0,4.94,False
ABW,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],289,299,7.9,8.1,10,0.603,2.53,0.0,7.59,5.06,0.0,1,-1.23,True
ABW,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],300,310,8.1,8.4,10,0.636,3.7,-1.23,7.41,3.7,0.33,1,-3.57,True
ABW,Window 4: Train [2020-01-01 → 2023-12-31] Test [2024-01-01 → 2024-12-31],311,321,8.4,8.1,10,0.647,-3.57,-4.76,0.0,3.57,0.63,0,2.47,False
ACB,Window 0: Train [2016-01-01 → 2019-12-31] Test [2020-01-01 → 2020-12-31],1142,1152,7.68,7.39,10,0.633,-3.78,-9.77,0.0,3.78,1.0,0,-5.55,False
