entry_date,exit_date,holding_days,pnl_pct,entry_price,exit_price,exit_reason,symbol
2023-11-02,2023-11-30,20,4.62,19.13,20.11,rule_sell,HPG
2023-12-04,2023-12-15,9,-3.04,20.83,20.3,rule_sell,HPG
2023-12-28,2024-01-10,8,-2.63,21.17,20.72,rule_sell,HPG
2024-01-22,2024-01-31,7,-2.46,21.44,21.02,rule_sell,HPG
2024-02-15,2024-03-18,22,2.63,21.74,22.42,rule_sell,HPG
2024-05-06,2024-06-21,34,8.55,22.2,24.21,rule_sell,HPG
2024-09-20,2024-10-23,23,2.64,21.37,22.04,rule_sell,HPG
2024-11-11,2024-11-14,3,-5.53,23.08,21.92,rule_sell,HPG
2024-11-29,2024-12-19,14,-0.14,22.29,22.37,rule_sell,HPG
2025-01-17,2025-02-10,11,-4.62,22.08,21.17,rule_sell,HPG
2025-02-18,2025-03-18,20,3.48,22.12,23.0,rule_sell,HPG
2025-04-23,2025-05-28,22,-0.31,21.29,21.33,rule_sell,HPG
2025-05-30,2025-06-02,1,-1.29,21.46,21.29,rule_sell,HPG
2025-06-03,2025-07-31,42,14.64,21.67,24.95,rule_sell,HPG
2025-08-07,2025-08-22,11,-9.27,28.5,26.0,rule_sell,HPG
2025-09-04,2025-09-22,12,-5.36,29.85,28.4,rule_sell,HPG
2025-10-10,2025-10-14,2,-4.72,29.6,28.35,rule_sell,HPG
2025-11-12,2025-12-01,13,-2.35,27.0,26.5,rule_sell,HPG
2025-12-04,2025-12-09,3,-3.8,27.3,26.4,rule_sell,HPG
2025-12-19,2026-01-05,9,-3.31,26.7,25.95,rule_sell,HPG
2026-01-12,2026-01-23,9,-3.23,27.5,26.75,rule_sell,HPG
2026-02-04,2026-02-10,4,-6.68,28.3,26.55,rule_sell,HPG
2026-02-23,2026-03-05,8,-1.41,27.5,27.25,rule_sell,HPG
2020-04-06,2020-05-04,18,3.59,4.65,4.84,rule_sell,SSI
2020-05-08,2020-06-11,24,10.01,5.14,5.68,rule_sell,SSI
2020-07-10,2020-07-24,10,-5.27,6.08,5.79,rule_sell,SSI
2020-08-11,2020-10-26,53,19.13,5.96,7.13,rule_sell,SSI
2020-11-17,2021-01-26,49,74.87,7.39,12.96,rule_sell,SSI
2021-02-19,2021-03-15,16,-0.35,13.43,13.45,rule_sell,SSI
2021-04-06,2021-04-22,11,-9.81,14.18,12.86,rule_sell,SSI
2021-05-10,2021-07-09,44,53.98,14.06,21.72,rule_sell,SSI
2021-08-02,2021-09-06,23,8.61,22.71,24.78,rule_sell,SSI
2021-10-18,2021-10-21,3,-3.3,24.62,23.93,rule_sell,SSI
2021-11-01,2021-12-15,32,24.39,24.95,31.16,rule_sell,SSI
2022-02-16,2022-03-14,18,-4.27,27.06,26.04,rule_sell,SSI
2022-04-04,2022-04-14,7,-7.14,27.12,25.32,rule_sell,SSI
2022-05-26,2022-06-14,13,-17.8,17.75,14.68,rule_sell,SSI
2022-07-08,2022-08-30,37,16.91,13.61,15.98,rule_sell,SSI
2022-11-01,2022-11-10,7,-18.54,11.31,9.27,rule_sell,SSI
2022-11-17,2022-12-21,24,21.7,10.54,12.88,rule_sell,SSI
2023-01-16,2023-02-07,11,-2.28,12.94,12.71,rule_sell,SSI
2023-03-08,2023-04-14,27,6.62,13.21,14.15,rule_sell,SSI
2023-05-10,2023-08-03,61,31.15,15.01,19.76,rule_sell,SSI
2023-08-24,2023-09-22,19,1.39,22.19,22.61,rule_sell,SSI
2023-10-13,2023-10-16,1,-4.84,23.27,22.26,rule_sell,SSI
2023-11-08,2023-12-13,25,5.12,21.01,22.19,rule_sell,SSI
2023-12-28,2024-01-02,2,-2.03,22.89,22.54,rule_sell,SSI
2024-01-03,2024-01-15,8,-0.32,22.85,22.89,rule_sell,SSI
2024-02-01,2024-02-23,11,-1.96,24.03,23.68,rule_sell,SSI
2024-02-29,2024-03-19,13,-2.8,25.66,25.07,rule_sell,SSI
2024-03-27,2024-04-04,6,-2.71,26.7,26.11,rule_sell,SSI
2024-05-08,2024-05-29,15,-1.75,24.72,24.41,rule_sell,SSI
2024-06-11,2024-06-24,9,-3.84,24.83,24.0,rule_sell,SSI
2024-07-19,2024-07-24,3,-5.93,24.13,22.82,rule_sell,SSI
2024-08-16,2024-09-10,15,-1.43,22.68,22.47,rule_sell,SSI
2024-09-25,2024-10-18,17,-0.83,24.38,24.3,rule_sell,SSI
2024-12-05,2025-01-02,19,0.46,22.83,23.05,rule_sell,SSI
2025-01-23,2025-03-26,39,4.87,22.34,23.54,rule_sell,SSI
2025-05-08,2025-06-10,23,0.57,20.52,20.74,rule_sell,SSI
2025-06-19,2025-09-19,64,68.32,21.23,35.84,rule_sell,SSI
2025-10-13,2025-10-20,5,-8.73,37.67,34.57,rule_sell,SSI
2025-11-17,2025-11-28,9,-7.85,32.25,29.88,rule_sell,SSI
2025-12-16,2026-01-26,27,1.98,30.25,31.0,rule_sell,SSI
2026-02-24,2026-03-10,10,-8.13,32.1,29.65,rule_sell,SSI
2020-03-11,2020-03-23,8,-18.36,2.8,2.3,rule_sell,VND
2020-04-16,2020-05-05,11,-8.87,2.27,2.08,rule_sell,VND
2020-05-11,2020-06-15,25,2.99,2.29,2.37,rule_sell,VND
2020-06-26,2020-06-29,1,-3.9,2.65,2.56,rule_sell,VND
2020-08-19,2020-10-27,48,31.98,2.34,3.1,rule_sell,VND
2020-11-10,2021-01-19,49,66.26,3.46,5.77,rule_sell,VND
2021-02-17,2021-07-06,93,147.03,5.66,14.01,rule_sell,VND
2021-07-29,2021-08-24,18,8.42,15.03,16.37,rule_sell,VND
2021-10-18,2021-10-25,5,-5.22,17.38,16.56,rule_sell,VND
