symbol,entry_idx,exit_idx,entry_price,exit_price,holding_days,trade_return_pct,max_dd_in_trade_pct,max_profit_in_trade_pct,sub_waves,is_win,entry_wave_pos,entry_dist_from_peak_pct,entry_recent_5d_ret_pct,exit_wave_pos,after_exit_max_up_pct,after_exit_max_down_pct,after_exit_5d_return_pct,after_exit_10d_return_pct,missed_profit_pct,gave_back_pct
AAA,2579,2580,8.31,8.18,1,-1.56,-1.56,0.0,1,False,0.54,-3.26,-1.07,0.33,0.49,-9.66,-2.32,-7.7,1.56,1.56
AAA,2609,2627,8.05,8.43,18,4.72,0.0,9.94,8,True,0.79,-2.19,3.21,0.56,-3.44,-6.17,-4.03,-6.17,5.22,5.22
AAH,181,182,3.7,3.6,1,-2.7,-2.7,0.0,1,False,0.67,-2.63,0.0,0.33,0.0,-2.78,-2.78,0.0,2.7,2.7
AAH,184,186,3.5,3.6,2,2.86,0.0,2.86,1,True,0.0,-7.89,-5.41,0.33,2.78,-2.78,0.0,0.0,0.0,0.0
AAH,200,222,4.2,4.9,22,16.67,0.0,47.62,11,True,1.0,0.0,13.51,0.19,-4.08,-12.24,-4.08,-12.24,30.95,30.95
AAH,223,225,4.7,4.6,2,-2.13,-2.13,0.0,1,False,0.06,-24.19,-4.08,0.0,2.17,-10.87,-4.35,-10.87,2.13,2.13
AAH,263,267,4.5,4.2,4,-6.67,-6.67,0.0,3,False,1.0,0.0,9.76,0.63,2.38,-2.38,0.0,0.0,6.67,6.67
AAH,271,274,4.2,4.2,3,0.0,0.0,2.38,2,False,0.63,-6.67,-2.33,0.4,0.0,-4.76,-2.38,-4.76,2.38,2.38
AAH,300,312,4.2,4.0,12,-4.76,-4.76,4.76,2,False,1.0,0.0,7.69,0.33,12.5,2.5,5.0,10.0,9.52,9.52
AAH,316,317,4.2,4.2,1,0.0,0.0,0.0,0,False,0.6,-4.55,2.44,0.6,7.14,-2.38,4.76,2.38,0.0,0.0
AAH,319,325,4.5,4.1,6,-8.89,-8.89,0.0,3,False,1.0,0.0,9.76,0.2,7.32,0.0,2.44,2.44,8.89,8.89
AAH,327,333,4.3,4.2,6,-2.33,-4.65,2.33,3,False,0.6,-4.44,-2.27,0.25,0.0,-2.38,-2.38,-2.38,4.65,4.65
AAH,398,400,3.8,3.7,2,-2.63,-2.63,0.0,1,False,1.0,0.0,2.7,0.5,-2.7,-5.41,-2.7,-5.41,2.63,2.63
AAS,66,82,5.2,4.52,16,-13.08,-13.08,30.58,6,False,1.0,0.0,27.76,0.11,-4.87,-23.67,-14.82,-8.63,43.65,43.65
AAS,93,119,4.3,4.81,26,11.86,0.0,20.93,10,True,0.25,-36.67,1.42,0.51,27.03,-1.25,16.42,23.49,9.07,9.07
AAS,122,138,4.98,4.86,16,-2.41,-2.41,22.69,10,False,0.61,-4.23,-3.3,0.08,7.0,-2.26,1.23,4.73,25.1,25.1
AAS,148,149,5.09,5.03,1,-1.18,-1.18,0.0,1,False,0.25,-16.69,3.46,0.21,6.76,-5.57,-4.37,6.76,1.18,1.18
AAS,151,154,4.98,4.81,3,-3.41,-3.41,0.0,1,False,0.17,-18.49,1.22,0.06,45.74,-1.25,11.64,45.74,3.41,3.41
AAS,156,192,4.92,7.18,36,45.93,0.0,96.54,18,True,0.2,-12.14,-1.2,0.18,-0.7,-11.0,-2.37,-6.27,50.61,50.61
AAS,206,249,7.07,9.5,43,34.37,0.0,47.24,20,True,0.21,-26.89,1.58,0.33,20.84,2.95,3.58,20.84,12.87,12.87
AAS,250,252,10.12,10.01,2,-1.09,-1.09,0.0,1,False,0.73,-2.79,-1.65,0.59,14.69,-2.3,11.89,10.69,1.09,1.09
AAS,257,295,11.2,16.8,38,50.0,-1.07,57.5,18,True,1.0,0.0,11.89,0.81,1.96,-9.46,-9.11,0.3,7.5,7.5
AAS,296,297,17.13,15.21,1,-11.21,-11.21,0.0,1,False,0.88,-2.89,-1.95,0.44,10.78,0.39,2.24,8.55,11.21,11.21
AAS,304,309,16.29,16.06,5,-1.41,-1.41,3.44,2,False,0.44,-7.65,3.23,0.36,7.72,0.37,4.61,0.37,4.85,4.85
AAS,314,317,16.8,16.63,3,-1.01,-1.01,2.98,2,False,0.83,-1.93,4.61,0.68,-2.41,-22.49,-20.44,-18.7,3.99,3.99
AAS,342,358,16.91,17.76,16,5.03,-2.66,9.34,7,True,1.0,0.0,9.17,0.74,1.58,-1.3,1.58,0.62,4.32,4.32
