model,feature_set,window,train_size,test_size,time_sec,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,cohen_kappa,mcc,hit_rate_buy,avg_return_when_buy,avg_return_when_avoid,buy_signal_ratio,n_buy_signals,n_total
random_forest,minimal,train_2017-2020_test_2021,1634,899,0.28,0.7519466073414905,0.7575596816976128,0.7519784450263685,0.7519466073414905,0.749439600961329,0.7433484464933509,0.6057374244325311,0.6079966433679809,0.7990074441687345,0.012932630844353525,-0.009324106474595487,0.4482758620689655,403,899
xgboost,minimal,train_2017-2020_test_2021,1634,899,0.62,0.7519466073414905,0.7405835543766579,0.7561793023204335,0.7519466073414905,0.7533520475028725,0.7417006991203206,0.6013723907277131,0.6021211407085938,0.6915422885572139,-0.00288515423941887,0.0,0.4471635150166852,402,899
logistic_regression,technical,train_2016-2019_test_2020,1256,546,0.05,0.7326007326007326,0.731351277535696,0.7587710541416505,0.7326007326007326,0.7380412264829169,0.7390837192103524,0.5973288612300978,0.6041576088303491,0.8740740740740741,0.01929455035606806,-0.011776165316900327,0.24725274725274726,135,546
random_forest,minimal,train_2021-2024_test_2025,4085,1245,0.33,0.7293172690763052,0.7432944233888829,0.7274199701466428,0.7293172690763052,0.7276858492963112,0.7374979172538397,0.5876721779329214,0.5882760878122039,0.7598784194528876,0.010576042834510467,-0.008317002468675111,0.2642570281124498,329,1245
random_forest,minimal,train_2019-2022_test_2023,2965,996,0.29,0.7289156626506024,0.7455592586253198,0.7294570979021812,0.7289156626506024,0.7276673968729355,0.7366621215481907,0.5848667473510015,0.5859706591995236,0.7697368421052632,0.011344219969090425,-0.010548472620879778,0.30522088353413657,304,996
lightgbm,minimal,train_2020-2023_test_2024,3461,1194,2.61,0.7294807370184254,0.7322263563277905,0.7299075348319812,0.7294807370184254,0.7296741854855688,0.7319320085175743,0.5764255448141338,0.5764433066264021,0.7341772151898734,0.010252534111804155,-0.009003532032071443,0.1984924623115578,237,1194
logistic_regression,technical,train_2017-2020_test_2021,1558,881,0.06,0.7468785471055619,0.7206381123511267,0.7436433927802953,0.7468785471055619,0.7442603749418737,0.7261088174205095,0.5912377322217345,0.5920457285122435,0.7989821882951654,0.011504293971058049,-0.010757796749425093,0.4460839954597049,393,881
xgboost,minimal,train_2020-2023_test_2024,3461,1194,2.17,0.7244556113902848,0.7252451518427027,0.7249270282407354,0.7244556113902848,0.7246728965859862,0.72602592968851,0.5680933595450767,0.5681109996771939,0.67,0.002557117890109681,0.0,0.4187604690117253,500,1194
xgboost,minimal,train_2021-2024_test_2025,4085,1245,2.25,0.7100401606425703,0.7193411215396521,0.7133131640595339,0.7100401606425703,0.7104099391468554,0.7199322016301393,0.5549203412926021,0.5559420428791956,0.6442831215970962,3.223654864199437e-05,0.0,0.442570281124498,551,1245
logistic_regression,technical,train_2021-2024_test_2025,3944,1186,1.11,0.7141652613827993,0.7315333374611726,0.7134153542023973,0.7141652613827993,0.7108958722121028,0.7192277714614482,0.568174202196216,0.5705629432619939,0.6942857142857143,0.011743346951183738,-0.00823898792472186,0.2951096121416526,350,1186
lightgbm,minimal,train_2021-2024_test_2025,4085,1245,2.11,0.7036144578313253,0.712280254745592,0.7075244151972311,0.7036144578313253,0.7040042638188821,0.7136126783267952,0.544561414639901,0.5458564451443081,0.7641509433962265,0.01158266953390367,-0.009912603313086289,0.25542168674698795,318,1245
logistic_regression,minimal,train_2019-2022_test_2023,2965,996,0.04,0.7078313253012049,0.7194946559396134,0.7065630663179229,0.7078313253012049,0.706263040594475,0.7136019664370422,0.5518147854916127,0.5526708251256706,0.7270114942528736,0.010266109894573223,-0.009215006772908811,0.3493975903614458,348,996
logistic_regression,technical,train_2019-2022_test_2023,2822,986,0.96,0.7018255578093306,0.7201202218171993,0.7006995659345597,0.7018255578093306,0.6988466634475813,0.7089905775772172,0.545363439180574,0.54750490478961,0.7122507122507122,0.009121603547674625,-0.009155924558417843,0.35598377281947263,351,986
logistic_regression,technical,train_2018-2021_test_2022,2189,946,0.43,0.7315010570824524,0.7102602496716252,0.7306157075579665,0.7315010570824524,0.7250088714330275,0.7032924018308164,0.5597170127659419,0.5661399464719724,0.6212121212121212,0.009245720148838432,-0.013609761503154147,0.13953488372093023,132,946
logistic_regression,technical,train_2020-2023_test_2024,3359,1131,1.08,0.7029177718832891,0.7134807530142487,0.7011392399131833,0.7029177718832891,0.6989035269726857,0.700925488040334,0.538104753431251,0.5408682152476336,0.6571428571428571,0.010650366865406213,-0.0069126279655847955,0.21662245800176835,245,1131
logistic_regression,minimal,train_2020-2023_test_2024,3461,1194,0.04,0.6968174204355109,0.7206295572802093,0.6961847062976483,0.6968174204355109,0.6906407584586888,0.6987109184231947,0.5337029377401052,0.538390644796413,0.6542372881355932,0.010992067300369664,-0.008608610202281694,0.24706867671691793,295,1194
logistic_regression,minimal,train_2017-2020_test_2021,1634,899,0.02,0.7208008898776418,0.6847038019451812,0.7161730756560961,0.7208008898776418,0.7157032749040829,0.69354717906577,0.5450239738042335,0.5471301691390756,0.7676056338028169,0.011818515283886218,-0.016867104291268125,0.4738598442714127,426,899
logistic_regression,minimal,train_2021-2024_test_2025,4085,1245,0.06,0.6811244979919678,0.7077311295258597,0.6794285648904123,0.6811244979919678,0.6740160867566567,0.6876063060749154,0.5205546555955418,0.5255236528891654,0.6753246753246753,0.010310057004231512,-0.007751539233821804,0.3092369477911647,385,1245
logistic_regression,minimal,train_2018-2021_test_2022,2283,996,0.03,0.7098393574297188,0.694279923225416,0.7125889049055854,0.7098393574297188,0.6989870654780292,0.687444204247483,0.5212924126966176,0.5342548491639032,0.65625,0.013354925986368262,-0.013027226406530352,0.1285140562248996,128,996
