entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,symbol,model
56,71,15,13.33,78.12,signal,2020-04-28,0.38172043010752665,0.26436781609195414,24.48211875843453,0.9548600960778121,0.0,2.0,0.043224783717242254,0.9166666666666666,4,2020-04-03,SSI,0.6,weak,False,False,True,2.35,-20.62,-2.14,SSI,v16
77,115,38,13.42,119.34,signal,2020-07-01,0.7599999999999998,0.023346303501945546,6.462585034013593,1.0006043212058389,2.0,3.0,-0.002877933883730482,0.016666666666666666,3,2020-05-08,SSI,0.5,moderate,False,True,False,3.84,-1.53,3.14,SSI,v16
121,134,13,-4.8,48.21,signal,2020-07-28,0.7564102564102559,0.03145695364238417,10.313588850174227,0.7569411137974588,2.0,3.0,-0.01767639334940046,0.08333333333333333,3,2020-07-09,SSI,0.7,strong,False,False,False,4.68,-1.47,3.42,SSI,v16
153,196,43,14.64,120.0,signal,2020-10-27,0.9466666666666667,0.006578947368421058,8.379530916844374,0.8941867277934246,2.0,1.0,-0.02238110072550436,0.06666666666666667,1,2020-08-24,SSI,0.5,strong,False,False,False,3.58,0.0,4.49,SSI,v16
211,242,31,81.46,,end,2020-12-31,0.9733333333333327,0.0027063599458728637,27.192982456140356,1.150426484466596,2.0,1.0,-0.014033211202617794,0.08333333333333333,2,2020-11-17,SSI,0.5,strong,False,False,False,3.07,0.0,4.33,SSI,v16
2,11,9,1.47,44.4,signal,2020-01-17,0.4615384615384624,0.03856749311294765,-8.298985782429511,1.2306741528835632,2.0,3.0,1.5684383550748173,0.38333333333333336,4,2020-01-06,TCB,0.7,weak,False,False,False,0.0,0.0,0.0,TCB,v16
97,106,9,-3.57,102.43,signal,2020-06-16,0.8604651162790694,0.029732408325074403,-14.721965959381194,0.6225335187177545,2.0,3.0,0.009198765832784426,0.16666666666666666,2,2020-06-03,TCB,0.5,strong,False,False,False,2.23,-2.89,6.13,TCB,v16
160,186,26,2.39,111.47,signal,2020-10-07,0.8255033557046981,0.025844930417495006,-5.18773047267851,1.3018433507704352,1.0,1.0,0.214606712287833,0.75,2,2020-08-31,TCB,0.48999999999999994,strong,False,False,False,1.62,-1.37,5.73,TCB,v16
196,205,9,-7.4,101.22,signal,2020-11-03,0.7960526315789481,0.02762923351158634,5.413562805034715,1.8873085224972435,2.0,3.0,1.010488093482209,0.48333333333333334,4,2020-10-21,TCB,0.5,strong,False,False,False,3.99,-0.62,5.74,TCB,v16
217,247,30,34.66,,end,2020-12-31,0.564705882352942,0.06696832579185506,46.44813018306996,0.9155578348887459,1.0,4.0,0.8893201571881234,0.5166666666666667,4,2020-11-19,TCB,1.0,strong,False,False,False,4.94,-2.56,4.06,TCB,v16
55,73,18,13.06,85.41,signal,2020-04-22,0.36439169139465877,0.2945544554455446,17.763746116737764,1.231039006041597,1.0,1.0,0.10586775355327172,1.0,4,2020-03-26,VIC,0.6,weak,False,False,True,-7.76,-22.52,-11.89,VIC,v16
85,102,17,-1.02,43.98,signal,2020-06-04,0.7214137214137208,0.031083275342148074,25.338356759889813,1.3460177385971934,3.0,2.0,-0.031240085496072677,0.13333333333333333,5,2020-05-12,VIC,0.7,moderate,False,False,False,4.64,-0.51,2.61,VIC,v16
163,184,21,1.78,49.7,signal,2020-09-29,0.6816816816816815,0.026526526526526584,19.444444444444464,1.4806074489513803,3.0,3.0,-0.02509376141685725,0.3,5,2020-08-28,VIC,0.7,moderate,False,False,False,4.42,-1.19,2.13,VIC,v16
203,219,16,3.8,50.1,signal,2020-11-19,0.4969623329283112,0.0929710307657759,-2.73006142280677,1.8634964259852613,1.0,2.0,-0.012881732197568621,0.9833333333333333,4,2020-10-28,VIC,0.7,strong,False,False,False,2.98,-5.21,4.18,VIC,v16
