entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_efficiency,left_on_table_pct,future_upside_pct,exit_reason,position_size,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_sma50_dist,entry_atr_pct,entry_date,entry_symbol,model,window
233,258,25,71.61,93.67,76.4,22.06,-5.05,signal,0.7,258,0.7912772585669777,0.037513997760358436,14.183493614521183,1.5275428881484794,2.0,3.0,0.0016312562554859356,0.9166666666666666,4,0.09331766203873748,0.03563429851223802,233,AAA,xgboost,train_2017-2020_test_2021
283,297,14,-3.58,2.16,-165.7,5.74,27.03,signal,1.0,297,0.9303797468354429,0.021611001964636604,16.29466110702316,1.2567286872854573,3.0,1.0,3.050117807264591,0.26666666666666666,3,-0.3483215117916678,0.05430816727476848,283,AAS,xgboost,train_2017-2020_test_2021
303,313,10,3.89,10.29,37.8,6.4,1.08,signal,1.0,313,0.8095238095238094,0.05054151624548741,31.729686242960582,1.1442150374147915,3.0,4.0,-0.4888530122765226,0.08333333333333333,4,0.15085795006024355,0.048349664775657546,303,AAS,xgboost,train_2017-2020_test_2021
341,346,5,15.79,24.2,65.2,8.41,44.98,trailing_stop,1.0,346,1.0,0.0,13.384295029864617,1.7975645171102792,3.0,2.0,1.0096637182380248,0.5,3,0.19628162145687314,0.053343949044585996,341,AAS,xgboost,train_2017-2020_test_2021
347,350,3,50.32,54.38,92.5,4.06,46.07,signal,0.7,350,0.3858695652173916,0.38047138047138024,-22.40117481343841,1.7231188867860683,1.0,2.0,0.3007804437305163,0.9666666666666667,4,0.08457493426818571,0.12061087061087061,347,AAS,xgboost,train_2017-2020_test_2021
352,368,16,48.7,70.05,69.5,21.35,-0.73,signal,0.7,368,0.831521739130435,0.08179419525065952,6.99035415671613,1.2092342679218504,3.0,3.0,0.41519502304332057,0.8666666666666667,4,0.3384186177914327,0.11307953260459856,352,AAS,xgboost,train_2017-2020_test_2021
390,393,3,-2.41,0.0,0.0,2.41,28.39,signal,1.0,393,0.9090909090909096,0.021628498727735247,16.522014570795037,0.9610836678391388,2.0,2.0,0.09430563124084884,0.21666666666666667,3,0.04399107427478482,0.05007270083605961,390,AAS,xgboost,train_2017-2020_test_2021
395,400,5,8.57,8.84,96.9,0.27,26.95,trailing_stop,1.0,400,0.8380952380952381,0.041162227602905554,2.52751996546516,1.008847673151678,1.0,2.0,-0.016509910090455687,0.23333333333333334,3,0.08470124753775438,0.04548599100657211,395,AAS,xgboost,train_2017-2020_test_2021
405,414,9,10.26,16.51,62.2,6.25,6.99,signal,1.0,414,0.631313131313131,0.08548009367681504,3.363914373088683,0.6301957242220257,2.0,3.0,-0.00367348017976089,0.016666666666666666,4,0.07885494833118575,0.06958849113415859,405,AAS,xgboost,train_2017-2020_test_2021
415,426,11,1.97,5.15,38.2,3.18,16.78,trailing_stop,1.0,426,0.9000000000000005,0.022222222222222105,8.605957276100696,0.8823314882512139,0.0,2.0,0.0622928199826141,0.4,3,0.23281530185295876,0.045743145743145704,415,AAS,xgboost,train_2017-2020_test_2021
430,431,1,-0.25,0.0,0.0,0.25,34.45,signal,1.0,431,0.5555555555555556,0.06793206793206791,-11.057536347282444,0.7277864447967989,1.0,2.0,-0.0038424100362269877,0.016666666666666666,3,0.12580695953393176,0.04923647780790641,430,AAS,xgboost,train_2017-2020_test_2021
436,442,6,-3.22,0.53,-612.8,3.75,50.04,signal,1.0,442,0.7198581560283684,0.06917688266199658,22.45179063360883,1.294897063950796,2.0,2.0,-0.07599276166498567,0.18333333333333332,5,0.22964940994056354,0.04947460595446584,436,AAS,xgboost,train_2017-2020_test_2021
443,471,28,51.37,55.15,93.2,3.78,1.66,signal,1.0,471,0.7021276595744675,0.07387862796833788,11.21025308241397,0.8356733970738809,0.0,2.0,-0.03857044246878921,0.65,4,0.16255291302836328,0.05371277798718432,443,AAS,xgboost,train_2017-2020_test_2021
475,478,3,3.49,4.47,78.0,0.98,17.3,signal,1.0,478,0.2429752066115704,0.30111768573307024,-49.458479270685956,0.8578322937376652,0.0,2.0,0.05225109496922223,0.35,3,0.13183117037742584,0.08706677937447174,475,AAS,xgboost,train_2017-2020_test_2021
513,518,5,-1.73,0.0,0.0,1.73,19.75,signal,1.0,518,0.9711191335740071,0.005398110661268561,12.473780515017665,1.9271049134888771,3.0,2.0,42.61380712882744,0.5666666666666667,3,-0.02195002837796821,0.03600347021399653,513,AAT,xgboost,train_2017-2020_test_2021
523,538,15,6.54,11.67,56.0,5.13,6.15,signal,1.0,538,0.8437500000000002,0.029182879377431862,11.07002801120447,1.0909090909090908,2.0,3.0,0.4828639843685203,0.65,3,0.05132540634885996,0.03765981100611449,523,AAT,xgboost,train_2017-2020_test_2021
551,557,6,-2.82,2.92,-96.6,5.74,13.78,signal,1.0,557,0.8505154639175261,0.01661891117478505,18.838020492696664,1.1753251532452238,4.0,3.0,0.4140241256845199,0.11666666666666667,3,0.11622849101260156,0.03430208759721651,551,AAT,xgboost,train_2017-2020_test_2021
564,567,3,-0.25,0.23,0.0,0.48,6.18,signal,1.0,567,0.5516014234875437,0.07138810198300292,-2.5159202421965077,0.9535463870604854,2.0,3.0,-0.03688736841038135,0.2,3,0.07184065099896762,0.041319303925536226,564,AAT,xgboost,train_2017-2020_test_2021
573,577,4,-0.95,1.68,-56.7,2.64,0.0,signal,1.0,577,0.8279569892473116,0.026044492674986458,28.337628865979326,1.0656830102015935,2.0,4.0,-0.04223751995708697,0.5166666666666667,3,0.08471743199180717,0.04019068289279904,573,AAT,xgboost,train_2017-2020_test_2021
639,641,2,-2.46,0.0,0.0,2.46,24.26,signal,1.0,641,0.7393767705382436,0.0817051509769094,6.194071005204201,0.9343556429029723,2.0,3.0,0.07133480709327478,0.55,4,-0.14752509728510207,0.0719994925145902,639,AAV,xgboost,train_2017-2020_test_2021
645,666,21,5.05,9.37,54.0,4.31,3.73,signal,1.0,666,1.0,0.0,18.3574222995001,1.1218669134807397,3.0,3.0,-0.009852167104609455,0.55,3,0.0028812938760566786,0.05232426303854874,645,AAV,xgboost,train_2017-2020_test_2021
667,672,5,-3.2,0.0,0.0,3.2,-1.8,signal,1.0,672,0.7877697841726619,0.04154929577464788,3.170894526034729,0.6747900612802452,1.0,2.0,-0.05325627399483879,0.03333333333333333,3,0.19906101700640083,0.04270623742454728,667,AAV,xgboost,train_2017-2020_test_2021
703,706,3,-2.76,0.0,0.0,2.76,15.33,signal,1.0,706,0.835820895522388,0.024390243902439032,22.994392627137465,1.2298975077373817,2.0,4.0,-0.04113679024118046,0.3333333333333333,4,0.03624165185956745,0.04223418857565198,703,AAV,xgboost,train_2017-2020_test_2021
708,712,4,32.72,42.95,76.2,10.23,3.17,signal,0.7,712,0.8227513227513228,0.04431216931216931,3.5898169336384456,1.3960483364049487,2.0,2.0,-0.026645575192635745,0.7833333333333333,4,0.15268502424297858,0.04412320483749055,708,AAV,xgboost,train_2017-2020_test_2021
757,776,19,79.92,97.93,81.6,18.01,13.16,signal,0.7,776,0.8659217877094971,0.035476718403547707,29.246605951335255,1.281865329969881,3.0,4.0,-0.011280640667885394,0.8,4,0.05689913760779893,0.045982472811741115,757,AAV,xgboost,train_2017-2020_test_2021
779,784,5,42.68,45.19,94.4,2.51,4.03,signal,0.7,784,0.8535031847133758,0.0715953307392996,-10.375350140056042,1.5458272232483445,2.0,3.0,0.1146710479220808,0.8,3,0.6489156935711538,0.08729849916620346,779,AAV,xgboost,train_2017-2020_test_2021
785,793,8,-1.97,1.79,-110.2,3.76,-1.97,signal,1.0,793,0.9227272727272727,0.02531645569620252,-0.027360529699862468,1.252214707623062,2.0,3.0,0.10066973106624427,0.38333333333333336,3,0.5683206240584822,0.07605573875119666,785,AAV,xgboost,train_2017-2020_test_2021
817,819,2,-6.48,0.0,0.0,6.48,1.71,stop_loss,1.0,819,0.9003880983182406,0.02490297542043983,15.6405235494177,1.1935761011531019,2.0,2.0,0.06363578882831811,0.13333333333333333,4,0.16975878454041954,0.044885418591757535,817,AAV,xgboost,train_2017-2020_test_2021
4,7,3,34.86,37.04,94.1,2.18,0.51,signal,0.7,7,0.659504132231405,0.10093091621754036,-1.030948950958205,0.9143427761611047,1.0,3.0,0.032091820463936396,0.8333333333333334,3,0.0,0.06536011758941697,4,AAA,xgboost,train_2018-2021_test_2022
53,61,8,-2.32,1.58,-146.5,3.9,-4.6,signal,1.0,61,0.718978102189781,0.04198473282442746,13.98070623757787,1.5427187869938417,2.0,4.0,-0.031675480284327595,0.3,5,0.06730914720020469,0.03030066988627513,53,AAA,xgboost,train_2018-2021_test_2022
136,141,5,0.09,2.05,4.4,1.96,4.35,signal,1.0,141,0.6852791878172594,0.052901023890784916,15.862068965517238,1.4278220834104591,3.0,3.0,-0.009356149446193507,0.16666666666666666,5,0.023884821693778112,0.03772549975621647,136,AAA,xgboost,train_2018-2021_test_2022
