entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_efficiency,future_upside_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,model
863,867,4,-3.39,0.0,0.0,2.05,signal,867,0.6363636363636367,0.057306590257879576,22.619047619047656,0.7436602505346777,1.0,3.0,-0.004247394091379593,0.45,4,863,AAT,1.0,xgboost
873,879,6,-0.25,0.29,0.0,2.5,signal,879,0.5961538461538463,0.060344827586206885,3.833333333333343,1.3673886391499797,3.0,3.0,0.016057696639820672,0.4166666666666667,5,873,AAT,1.0,xgboost
952,959,7,34.3,61.97,55.3,46.15,signal,959,0.7000000000000001,0.2105263157894737,7.948717948717956,1.7414054297879242,3.0,3.0,0.05532239912533232,1.0,5,952,AAV,0.7,xgboost
964,973,9,46.59,69.02,67.5,1.61,signal,973,0.6666666666666666,0.20000000000000004,-9.403508771929829,0.8340062836231139,1.0,3.0,-1.0575691108391356,0.75,3,964,AAV,0.7,xgboost
1009,1013,4,3.02,4.92,61.4,11.67,trailing_stop,1013,0.583333333333333,0.0819672131147541,2.1164021164021207,0.9366357127842659,2.0,2.0,0.23933610676976996,0.23333333333333334,4,1009,AAV,1.0,xgboost
1030,1036,6,-3.23,0.0,0.0,9.52,zombie_exit,1036,0.8461538461538461,0.029850746268656744,37.777777777777764,1.5498144984685776,2.0,3.0,0.6595519179048004,0.6666666666666666,4,1030,AAV,1.0,xgboost
1043,1048,5,1.26,3.03,41.6,1.52,trailing_stop,1048,0.6428571428571427,0.07575757575757576,0.96618357487921,0.9619273513488312,1.0,2.0,0.037337913159295216,0.6166666666666667,4,1043,AAV,1.0,xgboost
1084,1089,5,41.12,42.92,95.8,18.81,signal,1089,0.7857142857142858,0.047619047619047596,-1.1111111111111143,1.4736502184228704,2.0,3.0,0.09582286343156149,1.0,3,1084,AAV,0.7,xgboost
1096,1104,8,44.12,50.93,86.6,1.32,signal,1104,0.8095238095238094,0.05333333333333338,18.333333333333357,1.587305141763661,1.0,2.0,0.27659408252300083,1.0,4,1096,AAV,0.7,xgboost
1108,1112,4,-2.67,0.0,100.0,0.0,end,1112,0.5294117647058822,0.10666666666666676,-22.63157894736841,1.2375912408759124,1.0,1.0,0.07857526237687315,0.3,3,1108,AAV,1.0,xgboost
34,39,5,40.57,42.22,96.1,2.52,signal,39,0.7303370786516853,0.02800466744457412,-7.483772432226125,1.420782180552721,1.0,1.0,-0.022318189221433977,0.8166666666666667,3,34,AAA,0.7,xgboost
76,83,7,1.13,1.93,58.3,0.69,zombie_exit,83,0.7654320987654317,0.02620689655172419,9.151249823471275,1.217697527054459,1.0,2.0,-0.02717463841992159,0.55,4,76,AAA,1.0,xgboost
97,133,36,17.14,22.73,75.4,0.59,signal,133,0.3207547169811318,0.05020920502092055,6.981350057765255,0.8684044449563592,2.0,4.0,-0.014325946600677618,0.08333333333333333,4,97,AAA,1.0,xgboost
144,147,3,-3.86,0.0,0.0,7.24,signal,147,0.44247787610619554,0.0759036144578312,-1.7913928344286347,0.5641016722873322,1.0,4.0,0.017552133326557803,0.65,3,144,AAA,1.0,xgboost
162,167,5,1.09,2.2,49.6,0.61,signal,167,0.37974683544303706,0.05975609756097564,8.590679393599096,1.4018228472100873,2.0,2.0,0.01052747663609489,0.18333333333333332,5,162,AAA,1.0,xgboost
