entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,entry_profile,entry_choppy_regime,symbol
31,40,9,-5.65,147.52,signal,2020-03-05,0.30886558627264027,0.1452614706471649,33.64563012095194,1.1872915569598035,0.0,2.0,0.019482567656756662,0.7833333333333333,5,2020-02-21,BVH,0.4,weak,False,False,True,2.63,-12.68,-0.73,balanced,False,BVH
55,79,24,11.63,296.21,signal,2020-05-04,0.30112800392349204,0.42284866468842724,17.65727942084989,2.1692937850070417,3.0,3.0,0.039560568943440816,0.9666666666666667,5,2020-03-26,BVH,0.26775,weak,False,False,True,6.48,-29.08,-11.37,balanced,False,BVH
83,108,25,-1.44,108.95,signal,2020-06-15,0.6945606694560669,0.03573176700930007,3.412886229683913,1.2563766565281334,4.0,3.0,0.05830585517496044,0.15,5,2020-05-08,BVH,0.5,moderate,False,True,False,3.68,-1.45,2.46,balanced,False,BVH
143,178,35,11.1,160.3,signal,2020-09-29,0.41304347826086973,0.13185024416711882,19.898237794438927,1.1735591532447298,0.0,2.0,0.007168449632965049,1.0,5,2020-08-03,BVH,0.4,weak,False,False,True,6.56,-10.64,-4.56,balanced,False,BVH
189,201,12,-5.82,153.85,signal,2020-10-30,0.9593749999999992,0.0056022408963586545,15.378468391367548,1.6858932031977003,3.0,3.0,0.036849021212476046,0.43333333333333335,3,2020-10-14,BVH,0.4,moderate,False,False,False,9.12,0.0,9.23,balanced,False,BVH
212,245,33,22.23,,end,2020-12-31,0.6789940828402374,0.04642704321780048,7.5524885644849675,0.952298977281536,0.0,2.0,-0.0132341128964353,0.4166666666666667,4,2020-11-16,BVH,0.375,moderate,False,False,False,2.07,-2.71,2.31,balanced,False,BVH
2,28,26,26.51,260.47,peak_protect_dist,2020-02-19,0.7653061224489792,0.023541453428863914,13.1663234957677,1.4799805151651755,1.0,2.0,0.02294973711728837,0.7166666666666667,4,2020-01-06,CTG,0.3,weak,False,False,False,0.0,0.0,0.0,balanced,False,CTG
29,38,9,-1.71,212.72,signal,2020-03-04,0.7016806722689078,0.0576766856214459,2.3233886490141984,0.7918870853486901,0.0,2.0,-0.03763876967735026,0.6,4,2020-02-20,CTG,0.31875,strong,False,False,False,-1.28,-3.07,2.47,balanced,False,CTG
60,74,14,-4.46,194.49,signal,2020-04-24,0.41450777202072514,0.24565217391304367,22.32398867683316,0.9064375056269116,1.0,3.0,-0.0010833847974907954,0.85,4,2020-04-06,CTG,0.34,weak,False,False,True,5.75,-17.93,-0.48,balanced,False,CTG
86,109,23,8.9,183.1,signal,2020-06-16,0.828220858895705,0.028659160696008306,20.355987055016165,1.2304148447735856,2.0,3.0,0.11008281776395984,0.5833333333333334,4,2020-05-14,CTG,0.375,moderate,False,False,False,4.6,-1.41,6.41,balanced,False,CTG
126,136,10,-6.52,168.2,fast_exit_loss,2020-07-24,0.8527131782945742,0.017447199265381037,3.6697247706422047,1.4867562279393223,4.0,3.0,-0.003963225114781907,0.15,3,2020-07-10,CTG,0.375,moderate,False,False,False,6.66,0.0,4.1,balanced,False,CTG
151,205,54,28.74,194.36,signal,2020-11-05,0.8343195266272193,0.02604651162790692,30.622170048633244,1.1110581380079456,0.0,2.0,-0.021052884689322857,0.5833333333333334,4,2020-08-14,CTG,0.375,moderate,False,False,False,3.27,-1.47,4.26,balanced,False,CTG
