symbol,v1_trades,v1_wr,v1_avg_pnl,v1_total_pnl,v1_pf,v1_max_loss,v2_trades,v2_wr,v2_avg_pnl,v2_total_pnl,v2_pf,v2_max_loss,delta_pnl,delta_wr,delta_pf
CVT,3,66.67,44.063,132.19,15.886,-8.88,4,50.0,31.62,126.48,9.669,-8.88,-5.71,-16.67,-6.217
MSN,37,48.65,1.476,54.6,1.544,-12.11,37,48.65,1.321,48.88,1.466,-11.53,-5.72,0.0,-0.078
MBS,37,51.35,5.974,221.03,2.579,-21.89,35,51.43,6.149,215.22,2.625,-21.89,-5.81,0.08,0.046
TRC,10,40.0,3.581,35.81,2.45,-7.17,8,25.0,3.719,29.75,2.605,-7.17,-6.06,-15.0,0.154
TTB,20,35.0,2.424,48.49,1.335,-43.83,19,36.84,2.232,42.41,1.282,-43.83,-6.08,1.84,-0.053
NVT,8,50.0,1.773,14.18,1.424,-21.31,9,44.44,0.881,7.93,1.2,-21.31,-6.25,-5.56,-0.224
VHC,36,38.89,0.782,28.15,1.21,-12.64,37,35.14,0.591,21.85,1.144,-12.64,-6.3,-3.75,-0.066
PVS,40,45.0,1.838,73.51,1.529,-14.39,41,46.34,1.635,67.04,1.468,-14.39,-6.47,1.34,-0.061
TMT,11,54.55,10.309,113.4,6.336,-7.14,11,54.55,9.694,106.63,6.018,-7.14,-6.77,0.0,-0.319
GDT,25,40.0,0.896,22.4,1.26,-20.01,25,40.0,0.625,15.62,1.174,-20.01,-6.78,0.0,-0.086
PTB,33,51.52,1.629,53.75,1.654,-14.75,34,50.0,1.379,46.87,1.624,-12.0,-6.88,-1.52,-0.03
PC1,36,52.78,4.068,146.46,2.826,-14.37,37,51.35,3.755,138.94,2.685,-14.37,-7.52,-1.43,-0.141
DCL,28,28.57,2.151,60.23,1.68,-13.49,28,28.57,1.88,52.65,1.701,-13.14,-7.58,0.0,0.021
DPG,40,47.5,4.487,179.48,2.288,-15.12,39,51.28,4.404,171.77,2.21,-15.12,-7.71,3.78,-0.078
HCM,38,55.26,4.409,167.54,2.501,-15.55,40,55.0,3.996,159.82,2.514,-15.55,-7.72,-0.26,0.013
AFX,19,52.63,8.25,156.75,5.325,-9.93,19,57.89,7.829,148.75,5.12,-9.93,-8.0,5.26,-0.205
VLB,26,57.69,2.722,70.76,2.258,-22.15,26,53.85,2.41,62.67,1.939,-22.15,-8.09,-3.85,-0.319
KBC,35,42.86,3.526,123.42,1.961,-15.57,36,41.67,3.199,115.17,1.885,-15.57,-8.25,-1.19,-0.075
S99,27,37.04,3.184,85.98,1.829,-13.33,26,34.62,2.983,77.55,1.817,-13.33,-8.43,-2.42,-0.012
VIB,28,46.43,7.214,201.98,3.506,-12.05,29,48.28,6.671,193.45,3.303,-12.05,-8.53,1.85,-0.204
DAH,24,41.67,4.535,108.85,1.973,-49.7,24,37.5,4.162,99.89,1.829,-49.7,-8.96,-4.17,-0.145
BFC,41,46.34,2.82,115.6,2.035,-13.99,41,39.02,2.6,106.58,1.88,-13.99,-9.02,-7.32,-0.155
TIS,9,44.44,3.463,31.17,2.169,-11.11,9,33.33,2.432,21.89,1.692,-11.11,-9.28,-11.11,-0.477
BSI,37,56.76,6.764,250.27,3.151,-21.61,35,60.0,6.884,240.93,3.221,-21.61,-9.34,3.24,0.07
