entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,entry_profile,entry_choppy_regime,exit_trend,exit_dist_sma20,exit_ret_5d,exit_rsi14,exit_macd_hist,price_max_profit_pct,exit_above_sma20,exit_above_ema8,exit_vol_ratio,symbol
125,129,4,-11.54,266.74,model_b_exit,2021-07-14,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-07-08,CDO,0.26775,weak,False,False,True,-7.14,-16.13,-8.93,balanced,False,weak,-15.13,0.0,31.25,-0.04626,0.0,0.0,0.0,0.9,CDO
168,172,4,36.67,308.23,model_b_exit,2021-09-15,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-09-09,CDO,0.26775,moderate,False,False,False,20.0,-3.23,24.22,balanced,False,strong,53.56,57.69,78.12,0.15265,36.67,1.0,1.0,3.54,CDO
173,177,4,18.92,319.23,model_b_exit,2021-09-22,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-09-16,CDO,0.25,strong,False,False,False,23.33,-9.76,35.04,balanced,False,strong,41.94,7.32,72.09,0.12843,18.92,1.0,1.0,1.46,CDO
178,182,4,-18.6,291.14,model_b_exit,2021-09-29,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-09-23,CDO,0.25,strong,False,False,False,16.22,-2.27,34.37,balanced,False,moderate,1.45,-20.45,56.1,-0.06318,0.0,1.0,0.0,0.28,CDO
195,199,4,2.38,278.79,model_b_exit,2021-10-22,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-10-18,CDO,0.26775,strong,False,False,False,16.67,-4.55,13.21,balanced,False,strong,15.13,13.16,70.0,0.04037,4.76,1.0,1.0,0.94,CDO
200,204,4,0.0,305.11,model_b_exit,2021-10-29,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-10-25,CDO,0.25,strong,False,False,False,2.38,-2.27,13.76,balanced,False,strong,8.31,0.0,68.42,0.01576,4.65,1.0,1.0,1.16,CDO
205,209,4,10.42,288.14,model_b_exit,2021-11-05,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-11-01,CDO,0.26775,strong,False,False,False,11.63,0.0,18.96,balanced,False,strong,21.28,23.26,72.0,0.09845,14.58,1.0,1.0,0.84,CDO
213,217,4,10.71,292.92,model_b_exit,2021-11-17,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-11-11,CDO,0.26775,strong,False,False,False,3.7,0.0,17.4,balanced,False,strong,19.23,12.73,72.5,0.07462,19.64,1.0,1.0,0.76,CDO
218,222,4,-10.14,275.34,model_b_exit,2021-11-24,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-11-18,CDO,0.26775,strong,False,False,False,23.21,0.0,29.33,balanced,False,strong,8.2,0.0,59.09,-0.02393,1.45,1.0,0.0,0.84,CDO
226,230,4,1.45,296.22,model_b_exit,2021-12-06,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-11-30,CDO,0.26775,strong,False,False,False,13.11,-1.43,13.77,balanced,False,strong,7.36,11.11,58.33,0.05503,23.19,1.0,0.0,1.37,CDO
235,239,4,-2.47,272.66,model_b_exit,2021-12-17,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-12-13,CDO,0.26775,strong,False,False,False,15.71,-4.71,16.55,balanced,False,strong,9.42,5.33,62.12,-0.03148,0.0,1.0,1.0,0.95,CDO
243,247,4,6.02,306.46,model_b_exit,2021-12-29,0.5,0.05,0,1.0,0,0,0,0.5,2,2021-12-23,CDO,0.25,strong,False,False,False,5.06,-2.35,9.14,balanced,False,strong,10.83,6.02,77.78,-0.00579,6.02,1.0,1.0,1.43,CDO
48,70,22,-45.33,307.12,signal,2022-04-20,0.5,0.05,0,1.0,0,0,0,0.5,2,2022-03-18,CDO,0.25,strong,False,False,False,-5.06,-5.06,5.41,balanced,False,weak,-37.4,-33.87,10.53,-0.29042,6.67,0.0,0.0,1.02,CDO
117,121,4,0.0,276.84,model_b_exit,2022-07-04,0.5,0.05,0,1.0,0,0,0,0.5,2,2022-06-28,CDO,0.26775,weak,False,False,True,25.93,-26.09,-7.36,balanced,False,weak,-2.02,13.33,42.31,0.06091,2.94,0.0,1.0,0.96,CDO
148,152,4,-2.56,194.41,model_b_exit,2022-08-16,0.5,0.05,0,1.0,0,0,0,0.5,2,2022-08-10,CDO,0.34,strong,False,False,False,8.33,0.0,11.11,balanced,False,strong,6.15,-2.56,77.78,0.03128,0.0,1.0,1.0,0.9,CDO
153,162,9,-5.41,211.5,model_b_exit,2022-08-30,0.5,0.05,0,1.0,0,0,0,0.5,2,2022-08-17,CDO,0.31875,strong,False,False,False,-5.13,-5.13,3.06,balanced,False,weak,-4.11,0.0,30.0,-0.02508,0.0,0.0,0.0,0.73,CDO
