timestamp,trend,entry_score,wp,dp,rs,vs,bs,bb,ret5,ret20,ret60,drop20,dist_sma20,breakout,vshape_raw,choppy_regime,ret5_hot,dp_floor,is_real_entry
2018-08-22 06:00:00+00:00,moderate,1,0.8666666666666679,0.0025046963055729253,13.653846153846075,0.9788018117719541,1.0,0.5,0.008525418377012928,0.016118769883351147,0.0,-0.0014589412255106016,0.007867721305957698,False,False,False,0.06,0.02,False
2018-08-22 07:00:00+00:00,strong,1,0.7999999999999987,0.003761755485893441,10.701730323614413,0.9785084081140185,1.0,0.5,-0.0015649452269170805,0.010559662090813049,0.0,-0.002709462275948371,0.0060764071403041076,False,False,False,0.06999999999999999,0.017,False
2018-08-23 02:00:00+00:00,strong,1,0.9166666666666666,0.001563966218329684,5.899533603486333,0.9870053460809549,1.0,0.5,0.00010427528675704956,0.007457983193277284,0.0,-0.0005210504376823577,0.007907942095998655,False,False,False,0.06999999999999999,0.017,False
2018-08-23 03:00:00+00:00,strong,2,0.8166666666666629,0.0034471952366030172,3.642886335770079,1.0005705808513066,1.0,0.5,-0.0023968320133389565,0.008958684654300164,0.0,-0.0023968320133389565,0.005567226890756283,False,False,False,0.06999999999999999,0.017,False
2018-08-23 04:00:00+00:00,strong,2,0.9222222222222235,0.0014595496246872157,5.878677013622891,0.9823618440361165,2.0,0.5,0.002508361204013543,0.005134653672849376,0.0,-0.00041684035014588616,0.00730379261639591,False,False,False,0.06999999999999999,0.017,False
2018-08-23 06:00:00+00:00,strong,2,1.0,0.0,11.639072847681831,0.9783475866489897,2.0,0.5,0.004591943226883721,0.017010036978341248,0.0,0.0,0.010020460626410044,True,False,False,0.06999999999999999,0.017,False
2018-08-23 07:00:00+00:00,strong,2,0.8612440191387569,0.0030189464917759496,5.000357314222072,0.9834769822681227,2.0,0.5,0.0037617554858935254,0.014361140443505782,0.0,-0.0020777062123416012,0.007203296530464476,False,False,False,0.06999999999999999,0.017,False
2018-08-24 02:00:00+00:00,strong,1,0.7942583732057436,0.004482902418682187,0.06535080105786051,0.9868417217114507,1.0,0.5,0.00010426441455524404,0.01448968799576944,0.0,-0.0035321005609806333,0.005013542326975262,False,False,False,0.06999999999999999,0.017,False
2018-08-24 03:00:00+00:00,strong,2,0.6985645933014373,0.006581696615127407,4.23378474697094,0.9468926420498073,1.0,0.5,-0.00010446046171519452,0.010344099641123039,0.0,-0.0056098067733222345,0.0024033804409864246,False,False,False,0.06999999999999999,0.017,False
2018-08-24 04:00:00+00:00,strong,0,0.7799043062200943,0.004797163416414666,-8.33559844160547,0.9378724267678802,1.0,0.5,-0.00031276063386165287,0.008731327582579329,0.0,-0.0038437564928319734,0.0037474354143114397,False,False,False,0.06999999999999999,0.017,False
2018-08-24 06:00:00+00:00,strong,0,0.8325358851674639,0.0036458333333333334,-26.00099753387429,0.921024196003749,1.0,0.5,-0.0027010180760440594,0.014263074484944571,0.0,-0.0027010180760440594,0.004189352454772033,False,False,False,0.06999999999999999,0.017,False
2018-08-24 07:00:00+00:00,strong,1,0.7435897435897436,0.005216484089723527,-24.143174640308587,0.8889186051459101,1.0,0.5,-0.0021861336664584785,0.014285714285714235,0.0,-0.004259297735300205,0.001912885320956903,False,False,False,0.06999999999999999,0.017,False
2018-08-27 02:00:00+00:00,strong,1,0.9368421052631555,0.0012470123662060122,-13.59963833215486,0.8814530089362859,1.0,0.5,0.0032318598832359324,0.016907957307407795,0.0,-0.0003116559318513401,0.005044544476589197,False,False,False,0.06999999999999999,0.017,False
2018-08-27 03:00:00+00:00,strong,1,0.9444444444444444,0.00103777501037775,-2.435436417129708,0.8911729710893377,2.0,0.5,0.006686167989970793,0.01656292857896413,0.0,0.0,0.005577847232730582,False,False,False,0.06999999999999999,0.017,False
2018-08-27 04:00:00+00:00,strong,1,0.9826589595375749,0.00031104199066869315,-2.0335985853226717,0.8631819480148529,2.0,0.5,0.0058400250286787525,0.018049398353388257,0.0,0.0,0.005619793350085001,False,False,False,0.06999999999999999,0.017,False
2018-08-27 06:00:00+00:00,strong,2,0.9,0.0015565009857839577,9.896944141445495,0.7761835270919235,2.0,0.5,0.003854166666666714,0.014314282707083459,0.0,-0.000829445308449972,0.004073807812125629,False,False,False,0.06999999999999999,0.017,False
2018-08-27 07:00:00+00:00,strong,2,0.827586206896552,0.00207641196013289,9.510240130647091,0.7462896401713597,1.0,0.5,0.004903495044340067,0.004903495044340067,0.0,-0.0013478486262311629,0.0033072055415224177,False,False,False,0.06999999999999999,0.017,False
2018-08-28 02:00:00+00:00,strong,2,0.9375000000000033,0.00082850041425016,11.997348970565277,0.7491283280883161,1.0,0.5,0.0034292840070664354,0.006882168925964605,0.0,0.0,0.005461522041328548,False,False,False,0.06999999999999999,0.017,False
2018-08-28 03:00:00+00:00,strong,2,0.9375000000000033,0.00082850041425016,1.2531328320802402,0.7337422055180661,1.0,0.5,0.0020755500207554345,0.0062526052521885145,0.0,0.0,0.005147529550150631,False,False,False,0.06999999999999999,0.017,False
2018-08-28 04:00:00+00:00,strong,1,1.0,0.0,-1.1165845648601618,0.7739440684921027,1.0,0.5,0.002799377916018697,0.010869565217391353,0.0,0.0,0.006268369443649835,False,False,False,0.06999999999999999,0.017,False
